"","sin1","cos1","sin2","cos2","sin3","cos3","sin4","cos4","sin5","cos5","sin6","cos6","sin7","cos7","sin8","cos8","sin9","cos9","sin10","cos10"
"1",0.00074718432762024,0.0619533155583361,0.0014942599859628,0.0619397996459834,0.00224111832155468,0.0619172753095532,0.00298765071252995,0.0618857458249485,0.00373374858442755,0.0618452157777665,0.00447930342598214,0.0617956910626315,0.00522420680490587,0.0617371788823379,0.00596835038365852,0.0616696877468023,0.00671162593520401,0.061593227471826,0.00745392535875072,0.0615078091776677
"2",0.0014942599859628,0.0619397996459834,0.00298765071252995,0.0618857458249485,0.00447930342598214,0.0617956910626315,0.00596835038365852,0.0616696877468023,0.00745392535875072,0.0615078091776677,0.00893516414421501,0.0613101495252307,0.0104112050555095,0.0610768237745083,0.011881189431864,0.0608079676586414,0.0133442621357905,0.060503737579934,0.0147995720505449,0.0601643105188694
"3",0.00224111832155468,0.0619172753095532,0.00447930342598214,0.0617956910626315,0.00671162593520401,0.061593227471826,0.00893516414421501,0.0613101495252307,0.0111470078450645,0.0609468277204998,0.0133442621357905,0.060503737579934,0.015524051209321,0.0599814590281079,0.0176835221173834,0.059380675632854,0.0198198485044959,0.0587021737105965,0.0219302343071541,0.0579468412972056
"4",0.00298765071252995,0.0618857458249485,0.00596835038365852,0.0616696877468023,0.00893516414421501,0.0613101495252307,0.011881189431864,0.0608079676586414,0.0147995720505449,0.0601643105188694,0.0176835221173834,0.059380675632854,0.020526329859972,0.0584588861985056,0.0233213812272665,0.0574010868428701,0.026062173277778,0.0562097386324584,0.0287423293092582,0.0548876133473516
"5",0.00373374858442755,0.0618452157777665,0.00745392535875072,0.0615078091776677,0.0111470078450645,0.0609468277204998,0.0147995720505449,0.0601643105188694,0.0183983412623468,0.0591631019460984,0.0219302343071541,0.0579468412972056,0.0253824130999622,0.0565199495604258,0.0287423293092582,0.0548876133473516,0.0319977699689766,0.0530557660401079,0.0351369018714333,0.0510310662240902
"6",0.00447930342598214,0.0617956910626315,0.00893516414421501,0.0613101495252307,0.0133442621357905,0.060503737579934,0.0176835221173834,0.059380675632854,0.0219302343071541,0.0579468412972056,0.026062173277778,0.0562097386324584,0.0300577142745746,0.054178458871384,0.0338959463899806,0.0518636328405345,0.0375567820020606,0.0492773753231633,0.0410210619043018,0.0464332216557677
"7",0.00522420680490587,0.0617371788823379,0.0104112050555095,0.0610768237745083,0.015524051209321,0.0599814590281079,0.020526329859972,0.0584588861985056,0.0253824130999622,0.0565199495604258,0.0300577142745746,0.054178458871384,0.034518934319639,0.0514510910139587,0.0387342989286436,0.0483572712174363,0.0426737848600101,0.0449190347048084,0.0463093337726977,0.0411608697505179
"8",0.00596835038365852,0.0616696877468023,0.011881189431864,0.0608079676586414,0.0176835221173834,0.059380675632854,0.0233213812272665,0.0574010868428701,0.0287423293092582,0.0548876133473516,0.0338959463899806,0.0518636328405345,0.0387342989286436,0.0483572712174363,0.0432123856445668,0.0444011409762795,0.0472885560718935,0.040032037891239,0.0509248979485395,0.0352905987767429
"9",0.00671162593520401,0.061593227471826,0.0133442621357905,0.060503737579934,0.0198198485044959,0.0587021737105965,0.026062173277778,0.0562097386324584,0.0319977699689766,0.0530557660401079,0.0375567820020606,0.0492773753231633,0.0426737848600101,0.0449190347048084,0.0472885560718935,0.040032037891239,0.0513467839765922,0.0346739003913806,0.0548007069216686,0.0289076826116448
"10",0.00745392535875072,0.0615078091776677,0.0147995720505449,0.0601643105188694,0.0219302343071541,0.0579468412972056,0.0287423293092582,0.0548876133473516,0.0351369018714333,0.0510310662240902,0.0410210619043018,0.0464332216557677,0.0463093337726977,0.0411608697505179,0.0509248979485395,0.0352905987767429,0.0548007069216686,0.0289076826116448,0.0578804591584916,0.0221048420191686
"11",0.00819514069547349,0.0614134452874255,0.0162462725752484,0.0597898839311546,0.0240119174133706,0.0571156669857201,0.0313556136946778,0.053437787032402,0.0381483145798757,0.0488208734846587,0.04427065557649,0.0433460568900795,0.049615052067125,0.0371095432667486,0.0540875898362915,0.0302209235264462,0.0576096753745868,0.0228012476922851,0.0601194169603181,0.0149808977515245
"12",0.00893516414421501,0.0613101495252307,0.0176835221173834,0.059380675632854,0.026062173277778,0.0562097386324584,0.0338959463899806,0.0518636328405345,0.0410210619043018,0.0464332216557677,0.0472885560718935,0.040032037891239,0.0525673953080775,0.0327939101604936,0.056747215692352,0.0248701649422736,0.0597406303307499,0.0164264628199408,0.0614850563408609,0.00763933503986904
"13",0.00967388807716421,0.0611979369142515,0.0191104845823744,0.0589369236736788,0.0280783184875646,0.0552302419332117,0.0363574170798596,0.0501688131847998,0.0437447016897877,0.0438767896177659,0.0500589690241562,0.0365085087798555,0.055145335916077,0.0282447078192223,0.058879038466517,0.0192880901685112,0.0611684923879244,0.00985835341619712,0.0619575394825204,0.000186800326920264
"14",0.0104112050555095,0.0610768237745083,0.020526329859972,0.0584588861985056,0.0300577142745746,0.054178458871384,0.0387342989286436,0.0483572712174363,0.0463093337726977,0.0411608697505179,0.0525673953080775,0.0327939101604936,0.057330512932861,0.0234943371888903,0.060463230179272,0.0135266178100284,0.061876456908001,0.00317422015659059,0.0615300029083664,-0.00726844792143602
"15",0.0111470078450645,0.0609468277204998,0.0219302343071541,0.0579468412972056,0.0319977699689766,0.0530557660401079,0.0410210619043018,0.0464332216557677,0.0487056359668077,0.0382953341565133,0.0548007069216686,0.0289076826116448,0.0591073627942893,0.0185766320035275,0.0614850563408609,0.00763933503986904,0.061856191792305,-0.00354727078805489,0.0602086571837182,-0.0146181118214258
"16",0.011881189431864,0.0608079676586414,0.0233213812272665,0.0574010868428701,0.0338959463899806,0.0518636328405345,0.0432123856445668,0.0444011409762795,0.0509248979485395,0.0352905987767429,0.056747215692352,0.0248701649422736,0.060463230179272,0.0135266178100284,0.0619350129960557,0.00168099918757196,0.0611079355428219,-0.0102270135809306,0.0580126966990167,-0.0217554272492662
"17",0.0126136430377278,0.0606602637845154,0.0246989613451212,0.0568219403185286,0.0357497591691642,0.0506036195586538,0.045303171835242,0.0422657569996889,0.052959052918132,0.0321575855297735,0.0583967344477253,0.0207024877474198,0.061388458145214,0.00838026250445141,0.0618089151199803,-0.00429297155607688,0.0596404944552455,-0.016786393723014,0.0549740208445198,-0.0285767147390408
"18",0.0133442621357905,0.060503737579934,0.026062173277778,0.0562097386324584,0.0375567820020606,0.0492773753231633,0.0472885560718935,0.040032037891239,0.0548007069216686,0.0289076826116448,0.0597406303307499,0.0164264628199408,0.061876456908001,0.0031742201565906,0.0611079355428219,-0.0102270135809306,0.0574711389768853,-0.023148213274241,0.0511367706271471,-0.0349828855716156
"19",0.0140729404659947,0.0603384118098147,0.0274102240007355,0.0555648379221942,0.0393146498237502,0.0478866359470584,0.0491639191773301,0.0377051806018108,0.0564431657273741,0.0255527031008931,0.0607718699803348,0.0120644689971625,0.0619237507766538,-0.00205443005261154,0.0598385940413952,-0.0160659346519058,0.0546254004492048,-0.0292375994030671,0.0465566874607603,-0.0408808811765512
